SampleID,Location,Sampletype,Elevation,Temp,pH,latitude,longitude,lat_long,Tridymite,Cristobalite,Quartz,Amorphous silica,Plagioclase,Potassium feldspar,Kaolinite,Montmorillonite,Dickite,Illite,Gypsum ,Tamarugite ,Alunogen ,Tschermigite,Alunite ,Jarosite,Voltaite ,Halotrichite ,Coquimbite,Copiapite,Rhomboclase,Quenstedtite ,Hexahydrite,Sulfur,Pyrite,Aragonite ,No Diffraction
L_17_BH_01,Bumpass Hell,spring fluid,2510,90.1,NA,40.45827 N,121.50144 W,40.45827 N 121.50144 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_BH_02,Bumpass Hell,spring fluid,2510,81.5,NA,40.45815 N,121.50129 W,40.45815 N 121.50129 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_BH_03,Bumpass Hell,sediment,2507,46.8,2.7,40.45798 N,121.50092 W,40.45798 N 121.50092 W,0,3,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
L_17_BH_04,Bumpass Hell,sediment,2507,54.9,2.7,40.45798 N,121.50092 W,40.45798 N 121.50092 W,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L_17_BH_05,Bumpass Hell,sediment,2507,28.3,2.7,40.45798 N,121.50092 W,40.45798 N 121.50092 W,2,3,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
L_17_BH_06,Bumpass Hell,crusted sediment,2503,52.6,3,40.45811 N,121.50114 W,40.45811 N 121.50114 W,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_17_BH_07,Bumpass Hell,spring fluid,2503,71.5,3,40.45811 N,121.50114 W,40.45811 N 121.50114 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_DK_01_S1,Devils Kitchen,spring fluid,1831,88.1,6.12,40.35875 N,121.4937 W,40.35875 N 121.4937 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_DK_02_S1,Devils Kitchen,crusted sediment,1831,71,6.12,40.35875 N,121.4937 W,40.35875 N 121.4937 W,0,0,0,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_17_DK_03_S1,Devils Kitchen,biofilm,1831,55,6.12,40.35875 N,121.4937 W,40.35875 N 121.4937 W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
L_17_DK_04_S1,Devils Kitchen,crusted sediment,1831,60,6.12,40.35875 N,121.4937 W,40.35875 N 121.4937 W,3,3,0,3,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
L_17_DK_05_S1,Devils Kitchen,precipitate,1831,47.4,6.12,40.35875 N,121.4937 W,40.35875 N 121.4937 W,3,2,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
L_17_DK_07_S2,Devils Kitchen,biofilm,1849,34.3,2.65,40.44179 N,121.43473 W,40.44179 N 121.43473 W,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L_17_DK_08_S2,Devils Kitchen,crusted sediment,1849,83.8,2.65,40.44179 N,121.43473 W,40.44179 N 121.43473 W,3,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
L_17_DK_16_S4,Devils Kitchen,crusted sediment,1843,81.4,6.73,40.44129 N,121.4347 W,40.44129 N 121.4347 W,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
L_17_DK_18_S4,Devils Kitchen,sediment,1843,29.4,6.73,40.44129 N,121.4347 W,40.44129 N 121.4347 W,0,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_17_DK_19_S4,Devils Kitchen,biofilm,1843,52.4,5.79,40.44129 N,121.4347 W,40.44129 N 121.4347 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_DK_20_S4,Devils Kitchen,biofilm,1843,52.4,5.64,40.44129 N,121.4347 W,40.44129 N 121.4347 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_DK_21_S4,Devils Kitchen,biofilm,1843,52.4,5.56,40.44129 N,121.4347 W,40.44129 N 121.4347 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_DK_24_S5,Devils Kitchen,crusted sediment,1842,65,3.2,40.44165 N,121.43474 W,40.44165 N 121.43474 W,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
L_17_DK_25_S5,Devils Kitchen,sediment,1842,49.3,3.2,40.44165 N,121.43474 W,40.44165 N 121.43474 W,3,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
L_17_DK_26_S5,Devils Kitchen,sediment,1842,71.5,3.2,40.44165 N,121.43474 W,40.44165 N 121.43474 W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_17_DK_27_S5,Devils Kitchen,sediment,1842,62.7,3.2,40.44165 N,121.43474 W,40.44165 N 121.43474 W,3,3,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
L_17_PP_01,Pilot Pinnacle,spring fluid,2475,85.6,2,40.46615 N,121.52964 W,40.46615 N 121.52964 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_PP_02,Pilot Pinnacle,crusted sediment,2475,85.6,2,40.46615 N,121.52964 W,40.46615 N 121.52964 W,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_17_PP_04,Pilot Pinnacle,stream,2475,40.1,3,40.46635 N,121.52920 W,40.46635 N 121.52920 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_PP_05,Pilot Pinnacle,biofilm,2475,40.1,3,40.46635 N,121.52920 W,40.46635 N 121.52920 W,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L_17_SW_01,Sulphur Works Acid,sediment,2156,42.9,NA,40.45026 N,121.53535 W,40.45026 N 121.53535 W,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_17_SW_02,Sulphur Works Acid,sediment,2156,70.8,NA,40.45026 N,121.53535 W,40.45026 N 121.53535 W,1,0,3,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
L_17_SW_03,Sulphur Works Acid,precipitate,2156,58.8,NA,40.45026 N,121.53535 W,40.45026 N 121.53535 W,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L_17_SW_04,Sulphur Works Acid,precipitate,2156,64.6,NA,40.45026 N,121.53535 W,40.45026 N 121.53535 W,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,3,0,0,0,0,0,0,0,0
L_17_SW_05,Sulphur Works Acid,precipitate,2156,80.8,NA,40.45026 N,121.53535 W,40.45026 N 121.53535 W,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
L_17_SW_07,Sulphur Works Acid,precipitate,2156,67,NA,40.45026 N,121.53535 W,40.45026 N 121.53535 W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L_17_SW_09,Sulphur Works Acid,stream,2156,NA,NA,40.45026 N,121.53535 W,40.45026 N 121.53535 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_SW_10,Sulphur Works Neutral,spring fluid,2083,72.3,7.4,40.44765 N,121.53441 W,40.44765 N 121.53441 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_SW_11,Sulphur Works Neutral,precipitate,2083,72.3,NA,40.44765 N,121.53441 W,40.44765 N 121.53441 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_SW_12,Sulphur Works Neutral,biofilm,2083,58.5,NA,40.44765 N,121.53441 W,40.44765 N 121.53441 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_17_SW_13,Sulphur Works Neutral,biofilm,2083,36.5,NA,40.44765 N,121.53441 W,40.44765 N 121.53441 W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0